yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 10:51:20.021082,-1.450, 0.023,-0.992
2021-09-12 10:51:20.121248,-1.587,-0.122,-0.725
2021-09-12 10:51:20.221441,-1.534, 0.137,-1.022
2021-09-12 10:51:20.321640,-1.366, 0.496,-1.213
2021-09-12 10:51:20.421820,-1.343, 0.130,-0.862
2021-09-12 10:51:20.521996,-1.526, 0.191,-0.809
2021-09-12 10:51:20.622179,-1.350, 0.191,-1.030
2021-09-12 10:51:20.722363,-1.411, 0.015,-0.877
2021-09-12 10:51:20.822552,-1.335, 0.328,-0.999
2021-09-12 10:51:20.922751,-1.396, 0.053,-1.167
2021-09-12 10:51:21.022944,-1.457, 0.053,-0.839
2021-09-12 10:51:21.123129,-1.419, 0.366,-1.083
2021-09-12 10:51:21.223330,-1.373, 0.343,-0.809
2021-09-12 10:51:21.323561,-1.297, 0.259,-1.030
2021-09-12 10:51:21.423774,-1.572, 0.175,-0.870
2021-09-12 10:51:21.524098,-1.373, 0.237,-1.297
2021-09-12 10:51:21.624322,-1.434, 0.290,-0.916
2021-09-12 10:51:21.724531,-1.297, 0.381,-1.038
2021-09-12 10:51:21.824732,-1.289, 0.076,-0.793
2021-09-12 10:51:21.924952,-1.419, 0.290,-1.114
2021-09-12 10:51:22.025175,-1.549, 0.084,-1.038
2021-09-12 10:51:22.125517,-1.450, 0.298,-0.595
2021-09-12 10:51:22.225713,-1.427, 0.290,-1.160
2021-09-12 10:51:22.325917,-1.625, 0.343,-1.030
2021-09-12 10:51:22.426241,-1.411, 0.282,-0.870
2021-09-12 10:51:22.526456,-1.419, 1.930,-1.152
2021-09-12 10:51:22.626664,-1.488,-0.015,-0.893
2021-09-12 10:51:22.727008,-1.434, 0.160,-0.992
2021-09-12 10:51:22.827317,-1.297, 0.214,-0.954
2021-09-12 10:51:22.927536,-1.579, 0.328,-0.854
2021-09-12 10:51:23.027736,-1.213, 0.122,-1.038
2021-09-12 10:51:23.127966,-1.701, 0.267,-1.053
2021-09-12 10:51:23.228174,-1.167, 0.397,-0.938
2021-09-12 10:51:23.328469,-1.381, 0.443,-1.060
2021-09-12 10:51:23.428787,-1.549, 0.443,-1.129
2021-09-12 10:51:23.529008,-1.434, 0.229,-1.076
2021-09-12 10:51:23.629214,-1.129, 0.359,-0.946
2021-09-12 10:51:23.729421,-1.259, 0.389,-0.969
2021-09-12 10:51:23.829624,-1.289, 0.305,-0.801
