delta_t,x [dps],y [dps],z [dps]
0.0030121803283691406,-1.152, 1.653,-1.095
0.005980968475341797,-1.374, 0.173,-0.797
0.00902557373046875,-1.389,-0.048,-0.904
0.011938333511352539,-1.412, 0.105,-0.920
0.014887809753417969,-1.397,-0.147,-1.141
0.017861604690551758,-1.435,-0.086,-1.232
0.020757436752319336,-1.580, 0.105,-1.393
0.02360987663269043,-1.343, 0.166,-1.087
0.02650904655456543,-1.816,-0.162,-1.431
0.029448747634887695,-1.320, 0.074,-2.499
0.032315731048583984,-1.191,-0.391,-1.881
0.03503561019897461,-1.458, 0.311,-0.828
0.03768754005432129,-1.877, 0.173,-1.744
0.04033994674682617,-1.679,-0.170,-1.652
0.04302835464477539,-1.290,-0.246,-1.644
0.04569864273071289,-1.465, 0.288,-2.056
0.048392295837402344,-1.503,-0.155,-2.362
0.05108451843261719,-1.061, 0.074,-2.712
0.05376100540161133,-1.007,-0.223,-2.285
0.05640673637390137,-1.480, 0.097,-2.331
0.059104204177856445,-1.747,-0.017,-2.201
0.061738014221191406,-0.893, 0.028,-2.423
0.06447100639343262,-0.595,-0.078,-2.499
0.06717443466186523,-1.061,-0.216,-2.484
0.0698549747467041,-0.862, 0.021,-2.682
0.07252073287963867,-0.923,-0.155,-3.117
0.07522702217102051,-0.740,-0.376,-4.833
0.07788658142089844,-0.923,-0.239,-1.133
0.08054685592651367,-1.091,-0.376,-3.132
0.08322405815124512,-0.687,-0.323,-4.963
0.08589339256286621,-0.771,-0.307,-10.121
0.08856511116027832,-1.755,-0.628,-19.573
0.09116697311401367,-0.641,-1.337,-27.950
0.09380245208740234,-1.000,-1.414,-37.129
0.09640383720397949, 0.793,-1.856,-43.148
0.09902119636535645, 0.953,-1.887,-45.117
0.10163998603820801,-0.443,-1.963,-46.314
0.10425472259521484, 0.579,-4.137,-45.117
0.10685181617736816, 0.206,-1.940,-43.492
0.10948348045349121, 0.770,-1.887,-36.617
0.11208415031433105, 0.579,-1.444,-32.109
0.11468005180358887,-0.557,-1.177,-24.731
0.11734223365783691, 1.030,-0.689,-18.986
0.11994481086730957, 0.686,-0.651,-14.042
0.12255716323852539, 0.671,-0.498,-9.976
0.1251847743988037, 0.396,-0.384,-7.702
0.1278824806213379, 0.068,-0.101,-6.321
0.1305398941040039,-0.359,-0.460,-6.626
0.13316988945007324,-0.321,-0.597,-7.900
0.1357731819152832,-0.336,-0.521,-9.968
0.13841652870178223,-0.580,-0.407,-12.234
0.1410531997680664,-0.534,-0.948,-14.385
0.14369511604309082,-0.450,-0.773,-16.270
0.14634251594543457,-0.489,-1.047,-17.773
0.14904308319091797,-0.405,-1.192,-18.765
0.15166759490966797,-0.130,-0.933,-18.627
0.1542658805847168, 0.122,-0.902,-17.140
0.15692758560180664, 0.534,-0.796,-16.369
0.1596529483795166, 0.396,-0.658,-11.021
0.16225957870483398, 0.862,-0.399,-7.656
0.1648561954498291, 0.801,-0.277,-3.987
0.1674666404724121, 0.686,-0.048,-2.247
0.1700897216796875, 0.526,-0.017,-1.545
0.17287969589233398, 0.183,-0.025,-2.117
0.1756899356842041, 0.778,-0.284,-2.430
0.17838001251220703, 0.534,-0.452,-2.850
0.18098688125610352, 0.541,-0.056,-4.460
0.18364953994750977, 0.084,-0.483,-8.640
0.186248779296875,-0.908,-1.131,-13.577
0.1888575553894043,-2.396,-0.948,-18.009
0.19146037101745605, 0.312,-1.307,-23.464
0.19458532333374023, 0.549,-1.566,-29.667
0.19722390174865723,-0.161,-1.642,-32.566
0.19986772537231445, 0.160,-2.054,-36.579
0.20245766639709473, 0.114,-2.108,-40.302
0.2050306797027588, 0.763,-2.291,-44.644
0.20764875411987305, 1.007,-2.329,-46.490
0.21037077903747559, 0.610,-2.306,-48.680
0.21295619010925293, 0.007,-2.711,-51.144
0.21553277969360352, 0.358,-2.352,-52.838
0.2181248664855957, 0.442,-2.672,-53.387
0.2207176685333252,-0.008,-2.886,-53.532
0.22330784797668457, 0.396,-2.802,-53.127
0.2259047031402588,-0.588,-2.665,-52.220
0.22850728034973145, 0.511,-2.917,-51.449
0.23110103607177734, 0.374,-2.779,-51.098
0.2336881160736084,-0.016,-3.123,-51.045
0.23627662658691406,-0.229,-2.787,-52.304
0.23886919021606445,-0.077,-2.840,-53.326
0.24146604537963867, 0.030,-3.214,-53.883
0.24405431747436523,-0.420,-2.978,-53.631
0.24664783477783203, 0.618,-2.299,-54.455
0.24924111366271973, 0.244,-3.184,-56.637
0.25184011459350586,-0.649,-3.260,-56.904
0.2544286251068115,-0.092,-3.062,-57.369
0.25702667236328125,-0.588,-3.413,-58.605
0.2596743106842041,-0.977,-3.351,-59.925
0.26259899139404297,-0.306,-2.787,-60.398
0.26535916328430176, 0.854,-2.939,-59.643
0.2679727077484131, 1.266,-2.985,-58.491
