yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 10:50:26.708686,-0.006,-0.171,-0.248
2021-09-12 10:50:26.808928,-0.205, 0.058, 0.202
2021-09-12 10:50:26.909169, 0.154,-0.003,-0.065
2021-09-12 10:50:27.009377, 0.009, 0.203,-0.469
2021-09-12 10:50:27.109543,-0.228, 0.226,-0.065
2021-09-12 10:50:27.209690, 0.284, 0.005,-0.187
2021-09-12 10:50:27.309833,-0.045, 0.111,-0.111
2021-09-12 10:50:27.409991, 0.039, 0.111, 0.080
2021-09-12 10:50:27.510166, 0.131,-0.240, 0.027
2021-09-12 10:50:27.610345,-0.075, 0.104,-0.256
2021-09-12 10:50:27.710540, 0.039,-0.034,-0.042
2021-09-12 10:50:27.810767, 0.222, 0.180, 0.004
2021-09-12 10:50:27.910989,-0.121,-0.057, 0.057
2021-09-12 10:50:28.011229, 0.245, 0.058,-0.111
2021-09-12 10:50:28.111558, 0.200,-0.194, 0.004
2021-09-12 10:50:28.211880,-0.090,-0.118,-0.034
2021-09-12 10:50:28.312120, 0.047,-0.278, 0.019
2021-09-12 10:50:28.412282, 0.009,-0.011,-0.019
2021-09-12 10:50:28.512439,-0.205, 0.127, 0.240
2021-09-12 10:50:28.612608,-0.006, 0.111, 0.011
2021-09-12 10:50:28.712774, 0.093, 0.218,-0.088
2021-09-12 10:50:28.812936,-0.060,-0.118,-0.027
2021-09-12 10:50:28.913096,-0.006,-0.034, 0.057
2021-09-12 10:50:29.013298, 0.009, 0.050,-0.042
2021-09-12 10:50:29.113506,-0.167,-0.018, 0.011
2021-09-12 10:50:29.213710,-0.098, 0.134,-0.050
2021-09-12 10:50:29.313923, 0.238,-0.003, 0.278
2021-09-12 10:50:29.414129, 0.161, 0.088, 0.042
2021-09-12 10:50:29.514329,-0.090, 0.081, 0.172
2021-09-12 10:50:29.614513, 0.116, 0.043,-0.065
2021-09-12 10:50:29.714694,-0.090, 0.066,-0.072
2021-09-12 10:50:29.814925, 0.123, 0.203, 0.172
2021-09-12 10:50:29.915160, 0.001, 0.088, 0.088
2021-09-12 10:50:30.015409, 0.116,-0.118, 0.172
2021-09-12 10:50:30.115616,-0.083, 0.081, 0.225
2021-09-12 10:50:30.215823, 0.055,-0.011, 0.042
2021-09-12 10:50:30.316035, 0.009,-0.186, 0.225
2021-09-12 10:50:30.416249,-0.090, 0.249,-0.164
2021-09-12 10:50:30.516635,-0.075,-0.095, 0.256
2021-09-12 10:50:30.616848, 0.093, 0.134, 0.172
2021-09-12 10:50:30.717021, 0.016,-0.194,-0.034
2021-09-12 10:50:30.817168, 0.131,-0.072, 0.301
2021-09-12 10:50:30.917306,-0.075,-0.072, 0.027
2021-09-12 10:50:31.017463, 0.078,-0.049, 0.042
2021-09-12 10:50:31.117619,-0.067, 0.111, 0.042
2021-09-12 10:50:31.217761,-0.029, 0.172,-0.042
2021-09-12 10:50:31.317903, 0.016, 0.249, 0.072
2021-09-12 10:50:31.418069, 0.055,-0.041,-0.141
2021-09-12 10:50:31.518255, 0.047, 0.066,-0.034
2021-09-12 10:50:31.618468, 0.123, 0.249, 0.088
2021-09-12 10:50:31.718686, 0.055, 0.211,-0.011
2021-09-12 10:50:31.818872, 0.131, 0.035, 0.111
2021-09-12 10:50:31.919049,-0.083, 0.241,-0.134
2021-09-12 10:50:32.019252,-0.258,-0.087, 0.011
2021-09-12 10:50:32.119459, 0.016, 0.142, 0.050
2021-09-12 10:50:32.219693, 0.039, 0.050,-0.149
2021-09-12 10:50:32.319921,-0.159, 0.005,-0.050
2021-09-12 10:50:32.420133, 0.016, 0.020, 0.019
2021-09-12 10:50:32.520341, 0.024,-0.118, 0.172
2021-09-12 10:50:32.620621,-0.075, 0.264,-0.149
2021-09-12 10:50:32.720828, 0.306, 0.134,-0.057
2021-09-12 10:50:32.821059,-0.037,-0.087, 0.011
2021-09-12 10:50:32.921246, 0.001,-0.011, 0.187
2021-09-12 10:50:33.021419,-0.121, 0.134,-0.217
2021-09-12 10:50:33.121612, 0.047, 0.111,-0.202
2021-09-12 10:50:33.221786, 0.009, 0.088,-0.027
2021-09-12 10:50:33.321950, 0.009,-0.034, 0.248
2021-09-12 10:50:33.422118, 0.177, 0.363,-0.256
2021-09-12 10:50:33.522269, 0.116,-0.057, 0.004
2021-09-12 10:50:33.622404, 0.009,-0.171,-0.080
2021-09-12 10:50:33.722546,-0.197,-0.026, 0.103
2021-09-12 10:50:33.822687, 0.093,-0.240, 0.111
2021-09-12 10:50:33.922858, 0.055,-0.148,-0.179
2021-09-12 10:50:34.023115, 0.184,-0.011,-0.004
2021-09-12 10:50:34.123312, 0.009, 0.027,-0.004
2021-09-12 10:50:34.223503, 0.032,-0.087,-0.156
2021-09-12 10:50:34.323702,-0.266, 0.294, 0.065
2021-09-12 10:50:34.423910,-0.060,-0.133, 0.225
2021-09-12 10:50:34.524107, 0.062,-0.270, 0.111
2021-09-12 10:50:34.624300, 0.009, 0.241, 0.332
2021-09-12 10:50:34.724521, 0.139, 0.127,-0.080
2021-09-12 10:50:34.824730, 0.207, 0.066,-0.179
2021-09-12 10:50:34.924950, 0.039,-0.110,-0.256
2021-09-12 10:50:35.025157,-0.128,-0.194,-0.057
2021-09-12 10:50:35.125365, 0.024, 0.012, 0.019
2021-09-12 10:50:35.225580, 0.100, 0.096, 0.286
2021-09-12 10:50:35.325798, 0.230,-0.064,-0.111
2021-09-12 10:50:35.426014, 0.024, 0.005,-0.271
2021-09-12 10:50:35.526223,-0.128, 0.005,-0.011
2021-09-12 10:50:35.626415, 0.062,-0.011, 0.134
2021-09-12 10:50:35.726608,-0.151,-0.125, 0.042
2021-09-12 10:50:35.826815,-0.373, 0.058, 0.164
2021-09-12 10:50:35.927015,-0.083, 0.111,-0.095
2021-09-12 10:50:36.027198,-0.113,-0.003, 0.179
2021-09-12 10:50:36.127395, 0.146,-0.072,-0.164
2021-09-12 10:50:36.227761,-0.235, 0.020, 0.050
2021-09-12 10:50:36.328090,-0.014,-0.110,-0.240
2021-09-12 10:50:36.428328, 0.055,-0.064, 0.195
2021-09-12 10:50:36.528556, 0.146,-0.476, 0.240
2021-09-12 10:50:36.628764, 0.047, 0.104,-0.134
2021-09-12 10:50:36.728983,-0.098,-0.049,-0.111
2021-09-12 10:50:36.829200,-0.136,-2.170,-0.134
2021-09-12 10:50:36.929411, 0.123,-0.186, 0.179
2021-09-12 10:50:37.029746,-0.128, 0.249,-0.034
2021-09-12 10:50:37.130061, 0.024,-0.110,-0.103
2021-09-12 10:50:37.230416,-0.235,-0.095,-0.065
2021-09-12 10:50:37.330749, 0.093,-0.064,-0.004
2021-09-12 10:50:37.430969,-0.060,-0.095,-0.034
2021-09-12 10:50:37.531206,-0.182,-0.072,-0.164
2021-09-12 10:50:37.631458, 0.390, 0.012, 0.095
2021-09-12 10:50:37.731689, 0.131, 0.104,-0.011
2021-09-12 10:50:37.831934,-0.106,-0.049, 0.057
2021-09-12 10:50:37.932123,-0.022, 0.050, 0.118
2021-09-12 10:50:38.032318, 0.146,-0.133, 0.050
2021-09-12 10:50:38.132539,-0.144, 0.142,-0.019
2021-09-12 10:50:38.232776, 0.085, 0.096,-0.057
2021-09-12 10:50:38.333033, 0.024, 0.058, 0.103
2021-09-12 10:50:38.433253, 0.123,-0.171, 0.019
2021-09-12 10:50:38.533470,-0.159, 0.272,-0.080
2021-09-12 10:50:38.633681, 0.009, 1.630, 0.088
2021-09-12 10:50:38.733894, 0.039,-0.026,-0.019
2021-09-12 10:50:38.834128,-0.296, 0.005,-0.172
2021-09-12 10:50:38.934357, 0.078, 0.272,-0.088
2021-09-12 10:50:39.034571,-0.205, 0.020, 0.072
2021-09-12 10:50:39.134777,-0.228, 0.020,-0.027
2021-09-12 10:50:39.234983, 0.108, 0.195, 0.172
2021-09-12 10:50:39.335213,-0.090,-0.072,-0.011
2021-09-12 10:50:39.435440,-0.205, 0.394, 0.149
2021-09-12 10:50:39.535660,-0.106,-0.064, 0.050
2021-09-12 10:50:39.635870,-0.037,-2.208, 0.095
2021-09-12 10:50:39.736078,-0.060, 0.149,-0.019
2021-09-12 10:50:39.836291, 0.032, 0.195, 0.065
2021-09-12 10:50:39.936541, 0.169, 0.050,-0.187
2021-09-12 10:50:40.036763,-0.098,-0.018, 0.324
2021-09-12 10:50:40.136981, 0.108, 0.027,-0.172
2021-09-12 10:50:40.237191, 0.055,-0.125,-0.248
2021-09-12 10:50:40.337503, 0.009,-0.072, 0.118
2021-09-12 10:50:40.437773,-0.029,-0.102, 0.179
2021-09-12 10:50:40.537963, 0.024, 0.195,-0.149
2021-09-12 10:50:40.638162, 0.001,-0.095, 0.187
2021-09-12 10:50:40.738358, 0.047, 0.035,-0.095
2021-09-12 10:50:40.838532,-0.220,-0.110,-0.149
2021-09-12 10:50:40.938690, 0.055,-0.156, 0.240
2021-09-12 10:50:41.038854, 0.032,-0.018, 0.225
2021-09-12 10:50:41.139045,-0.144,-0.003,-0.332
2021-09-12 10:50:41.239294,-0.075, 0.119, 0.004
2021-09-12 10:50:41.339498,-0.037,-0.133, 0.210
2021-09-12 10:50:41.439691,-0.159,-0.049,-0.385
2021-09-12 10:50:41.539910, 0.154,-0.049, 0.179
2021-09-12 10:50:41.640184, 0.093, 0.058,-0.172
2021-09-12 10:50:41.740471,-0.083,-0.110, 0.057
2021-09-12 10:50:41.840727,-0.296, 0.211, 0.164
2021-09-12 10:50:41.940894,-0.075,-0.034,-0.050
2021-09-12 10:50:42.041047, 0.078,-0.072,-0.248
2021-09-12 10:50:42.141185,-0.075, 0.050, 0.141
2021-09-12 10:50:42.241342, 0.024, 0.096,-0.080
2021-09-12 10:50:42.341528, 0.009, 0.096, 0.103
2021-09-12 10:50:42.441736, 0.078,-0.278, 0.294
2021-09-12 10:50:42.541972, 0.070, 0.111, 0.088
2021-09-12 10:50:42.642173, 0.016,-0.018, 0.118
2021-09-12 10:50:42.742377, 0.169,-0.140, 0.141
2021-09-12 10:50:42.842611, 0.139,-0.209,-0.225
2021-09-12 10:50:42.942834,-0.289, 0.195,-0.065
2021-09-12 10:50:43.043063, 0.108,-0.003,-0.004
2021-09-12 10:50:43.143347,-0.273, 0.340,-0.202
2021-09-12 10:50:43.243539, 0.078, 0.127,-0.103
2021-09-12 10:50:43.343709,-0.273,-0.179, 0.095
2021-09-12 10:50:43.443878, 0.009, 0.111, 0.080
2021-09-12 10:50:43.544051, 0.085,-0.026,-0.057
2021-09-12 10:50:43.644227,-0.029,-0.102, 0.103
2021-09-12 10:50:43.744517,-0.022,-0.140, 0.141
2021-09-12 10:50:43.844801,-0.251, 0.149,-0.080
2021-09-12 10:50:43.945018,-0.029,-0.072,-0.072
2021-09-12 10:50:44.045274,-0.106,-0.003, 0.027
2021-09-12 10:50:44.145512, 0.032,-0.407,-0.034
2021-09-12 10:50:44.246201,-0.258, 1.637,-0.050
2021-09-12 10:50:44.346430,-0.090,-0.209,-0.118
2021-09-12 10:50:44.446661,-0.037, 0.119, 0.019
2021-09-12 10:50:44.546908,-0.052, 0.104, 0.065
2021-09-12 10:50:44.647157,-0.151,-0.125, 0.042
2021-09-12 10:50:44.747427,-0.098, 0.088, 0.042
2021-09-12 10:50:44.847627,-0.006,-0.041,-0.042
2021-09-12 10:50:44.947867,-0.251, 0.050, 0.111
2021-09-12 10:50:45.048088,-0.006, 0.020,-0.057
2021-09-12 10:50:45.148261, 0.276,-0.125,-0.103
2021-09-12 10:50:45.248468,-0.174, 0.134,-0.134
2021-09-12 10:50:45.348659,-0.144, 0.119,-0.034
2021-09-12 10:50:45.448839,-0.083, 0.119,-0.126
2021-09-12 10:50:45.549039,-0.014,-0.057, 0.172
2021-09-12 10:50:45.649245,-0.174,-2.177,-0.034
2021-09-12 10:50:45.749471,-0.136,-0.110, 0.385
2021-09-12 10:50:45.849670,-0.014,-0.034, 0.111
2021-09-12 10:50:45.949832, 0.001,-0.049, 0.088
2021-09-12 10:50:46.050016, 0.146, 0.066, 0.172
2021-09-12 10:50:46.150260,-0.090, 0.111,-0.019
2021-09-12 10:50:46.250498,-0.121,-0.064, 0.103
2021-09-12 10:50:46.350722,-0.159,-0.034, 0.187
2021-09-12 10:50:46.450941,-0.144,-0.201, 0.126
2021-09-12 10:50:46.551272,-0.014,-0.118, 0.126
2021-09-12 10:50:46.651598, 0.062,-0.011, 0.126
2021-09-12 10:50:46.751816, 0.284,-0.247, 0.248
2021-09-12 10:50:46.852024, 0.268, 0.027, 0.011
2021-09-12 10:50:46.952228,-0.144,-0.041,-0.027
2021-09-12 10:50:47.052511, 0.238,-0.049, 0.011
2021-09-12 10:50:47.152746,-0.052, 0.043,-0.141
2021-09-12 10:50:47.252983, 0.100, 0.005, 0.271
2021-09-12 10:50:47.353170,-0.113, 0.050, 0.134
2021-09-12 10:50:47.453402,-0.136,-0.110,-0.248
2021-09-12 10:50:47.553630,-0.006,-0.201, 0.179
2021-09-12 10:50:47.653815, 0.093, 0.066,-0.004
2021-09-12 10:50:47.753974, 0.062,-0.240, 0.080
2021-09-12 10:50:47.854137, 0.009, 0.081, 0.362
2021-09-12 10:50:47.954325,-0.258, 0.149,-0.050
2021-09-12 10:50:48.054601, 0.001, 0.188, 0.118
2021-09-12 10:50:48.154825,-0.190,-0.156,-0.179
2021-09-12 10:50:48.255001,-0.022,-0.003, 0.034
2021-09-12 10:50:48.355177, 0.070,-0.057,-0.027
2021-09-12 10:50:48.455353, 0.039, 0.043,-0.111
2021-09-12 10:50:48.555539, 0.139, 0.195,-0.210
2021-09-12 10:50:48.655731, 0.062, 0.149, 0.072
2021-09-12 10:50:48.755905, 0.177, 0.058,-0.294
2021-09-12 10:50:48.856098, 0.039,-0.049, 0.195
2021-09-12 10:50:48.956304, 0.253,-0.087, 0.057
2021-09-12 10:50:49.056519,-0.205,-0.133,-0.217
2021-09-12 10:50:49.156730,-0.083,-0.087, 0.149
2021-09-12 10:50:49.256918,-0.090,-0.064, 0.103
2021-09-12 10:50:49.357090,-0.052,-2.124,-0.134
