delta_t,x [dps],y [dps],z [dps]
0.3572120666503906,-0.456,-0.106, 0.300
0.3598155975341797,-0.204, 0.145,-0.334
0.36240386962890625,-0.364,-0.083, 0.124
0.3649890422821045, 0.094,-0.137,-0.303
0.36757636070251465,-0.181,-0.190, 0.139
0.37016844749450684,-0.044,-0.152,-0.005
0.372755765914917,-0.212,-0.144, 0.017
0.3753793239593506, 0.056,-0.038,-0.028
0.377971887588501,-0.067,-0.045,-0.204
0.38056087493896484,-0.135,-0.152, 0.017
0.3831465244293213, 0.017,-0.068,-0.028
0.3857288360595703,-0.067,-2.189,-0.280
0.38831257820129395, 0.078,-0.068, 0.231
0.39089345932006836,-0.120,-0.373,-0.112
0.39347362518310547, 0.139, 0.191, 0.010
0.3960559368133545, 0.078,-0.015, 0.147
0.39865827560424805, 0.246,-0.106,-0.013
0.4012637138366699, 0.017, 0.222,-0.066
0.40385007858276367, 0.529, 0.222, 0.017
0.40642595291137695, 0.223, 0.229, 0.162
0.4089999198913574, 0.185,-0.083,-0.204
0.4115777015686035, 0.475, 0.153, 0.239
0.4141514301300049, 0.620, 0.039, 0.223
0.41672587394714355, 0.460, 0.069,-0.005
0.4192984104156494, 0.582,-0.068,-0.089
0.4218728542327881, 0.628, 0.008, 0.010
0.42444324493408203, 0.666, 0.321,-0.166
0.42703866958618164, 0.239,-0.152, 0.162
0.4296247959136963, 0.345,-0.007, 0.063
0.43219685554504395, 0.040, 0.031, 0.185
0.43477845191955566, 0.292,-0.198, 0.170
0.4373610019683838, 0.124,-0.030,-0.143
0.4399416446685791, 0.010,-0.122, 0.201
0.4425241947174072, 0.056,-2.136, 0.490
0.44510626792907715, 0.376,-0.007, 0.071
0.44769978523254395, 0.239,-0.152, 0.338
0.45027995109558105, 0.056, 0.023,-0.135
0.4528696537017822, 0.307, 0.031, 0.460
0.4554738998413086,-0.028,-0.160, 0.384
0.45805835723876953, 0.155,-0.022, 0.208
0.46063852310180664,-0.013, 0.023, 0.422
0.46322035789489746, 0.361, 0.130, 0.231
0.4658071994781494, 0.292, 0.191, 0.529
0.46839284896850586, 0.422, 0.306, 0.323
0.4711117744445801, 0.460, 0.046, 0.567
0.4737119674682617, 0.742, 0.489, 0.704
0.4763185977935791, 0.857, 0.161, 0.498
0.47890424728393555, 0.696, 0.405, 0.544
0.48148441314697266, 0.323, 0.191, 0.643
0.48406481742858887, 0.605, 0.344, 0.857
0.4866468906402588, 0.361, 0.390, 0.063
0.4892280101776123, 0.635, 0.428, 0.551
0.4918348789215088, 0.803, 0.641, 0.551
0.49442267417907715, 0.490, 0.458, 0.513
0.49700379371643066, 0.490, 0.443, 0.323
0.49958324432373047, 0.223, 0.413, 0.345
0.5021646022796631, 0.368, 0.367, 0.727
0.5047447681427002, 0.109, 0.298, 0.323
0.5073251724243164, 0.078, 0.298, 0.422
0.5099058151245117,-0.036, 0.092, 0.239
0.5124866962432861,-0.059, 0.344, 0.162
0.5150673389434814,-0.402, 0.107, 0.254
0.5176479816436768,-0.341, 0.001, 0.170
0.5202279090881348,-0.494,-0.099, 0.208
0.5228080749511719,-0.555,-0.183, 0.384
0.525388240814209,-0.387,-0.022, 0.162
0.5279688835144043,-0.418, 0.084, 0.170
0.5305495262145996,-0.479,-0.236, 0.437
0.5331294536590576,-0.410,-0.007, 0.132
0.5357110500335693,-0.402, 0.138, 0.216
0.5382966995239258,-0.341,-0.144, 0.338
0.5408875942230225,-0.349,-0.045, 0.178
0.5434706211090088,-0.532,-0.274, 0.262
0.5460529327392578,-0.318,-0.007, 0.330
0.5486342906951904,-0.196,-0.190, 0.033
0.5512151718139648,-0.295, 0.092, 0.002
0.5537950992584229,-0.273, 0.298, 0.132
0.5563750267028809,-0.135,-0.099, 0.178
0.5589570999145508,-0.280,-0.152,-0.173
0.5615386962890625, 0.246, 0.031, 0.147
0.5641200542449951, 0.185,-0.137, 0.216
0.5667004585266113, 0.262, 0.130, 0.178
0.5692839622497559, 0.162, 0.115,-0.112
0.5718646049499512, 0.254,-0.068,-0.143
0.5744457244873047, 0.399,-0.213, 0.284
0.5770244598388672, 0.254,-2.189,-0.234
0.5796024799346924, 0.368,-0.106, 0.056
0.582197904586792, 0.300,-0.030,-0.089
0.5847809314727783, 0.429, 0.084, 0.185
0.5873615741729736, 0.368,-0.129, 0.162
0.5899426937103271, 0.254,-0.114, 0.338
0.5925228595733643, 0.155,-2.189, 0.109
0.5951027870178223, 0.223,-0.160,-0.066
0.5978379249572754, 0.216,-0.091, 0.216
0.600421667098999, 0.414, 0.130, 0.025
0.6029911041259766, 0.056,-0.091, 0.071
0.6055612564086914, 0.246, 0.092,-0.074
0.6081321239471436, 0.040,-0.038, 0.201
0.6107010841369629, 0.254, 0.207,-0.021
0.6132705211639404, 0.094, 0.161,-0.059
0.6158416271209717, 0.040, 0.054,-0.166
0.6184120178222656, 0.048, 0.138, 0.071
0.6209888458251953, 0.178,-0.251, 0.109
0.623558521270752,-0.257, 0.016, 0.147
0.6261298656463623,-0.067, 0.138,-0.097
0.6287004947662354,-0.074, 0.214, 0.040
0.6312706470489502,-0.166, 0.168, 0.139
0.6338396072387695,-0.143, 0.069, 0.239
0.6364171504974365,-0.036,-0.160,-0.105
0.6389970779418945,-0.044, 0.603, 0.086
0.6415772438049316, 0.139, 0.016, 0.277
0.6441571712493896, 0.109, 0.130,-0.074
0.6467385292053223, 0.361, 0.184,-0.066
0.6493189334869385, 0.399, 0.413, 0.376
0.6518998146057129, 0.307, 0.336, 0.109
0.6544797420501709, 0.117,-0.015, 0.399
0.6570601463317871, 0.536, 0.138, 2.878
0.6596400737762451, 0.452, 0.275, 0.178
0.662219762802124, 0.551, 0.641, 0.628
0.6648004055023193, 0.696, 0.435, 0.857
0.6673800945281982, 0.620,-0.015, 1.063
0.6699614524841309, 0.620, 0.382, 0.857
0.6725418567657471, 0.414, 0.084, 1.765
0.6751222610473633, 0.696, 0.451, 2.436
0.6777017116546631, 0.719, 0.237, 2.352
0.6802821159362793, 0.475, 0.374, 2.840
0.6828618049621582, 0.529, 0.557, 3.855
0.6854422092437744, 0.818, 0.161, 3.809
0.6880252361297607, 1.116, 0.435, 2.642
0.6906061172485352, 0.742, 0.069, 2.322
0.6931865215301514, 0.109, 0.252, 2.222
0.695767879486084,-0.105, 0.222, 2.047
0.6983473300933838, 0.300, 0.107, 2.146
0.7009270191192627,-0.173, 0.084, 2.291
0.7035074234008789, 0.002, 0.229, 2.474
0.7060878276824951,-0.456, 0.252, 2.291
0.7086684703826904,-0.425, 0.382, 3.092
0.7112488746643066,-0.898, 0.466, 4.671
0.7138354778289795,-0.181, 0.641, 6.792
0.7164158821105957,-0.395, 0.741, 5.289
0.7189967632293701, 0.109, 0.084, 4.877
0.7215769290924072,-0.181, 0.390, 4.412
0.7241592407226562,-0.204, 0.428, 3.832
0.7267405986785889, 0.414, 0.207, 2.276
0.7293202877044678, 0.033, 0.092, 2.024
0.7319009304046631, 0.040, 0.001, 1.421
0.7344813346862793, 0.040, 0.222, 1.436
0.7370607852935791, 0.216, 0.130, 1.482
0.7396376132965088, 0.056, 0.336, 1.627
0.7422268390655518, 0.361, 0.268, 1.848
0.7448077201843262, 0.078, 0.084, 1.505
0.7473883628845215, 0.292, 0.283, 1.459
0.7499668598175049, 0.086, 0.260, 1.513
0.7525467872619629, 0.254, 0.222, 1.604
0.7551257610321045, 0.193, 0.283, 1.818
0.7577052116394043, 0.200, 0.428, 1.650
0.7602839469909668, 0.422, 0.321, 2.024
0.7628631591796875, 0.590, 0.283, 2.161
0.7654423713684082, 0.567, 0.428, 2.367
0.7680251598358154, 0.445, 0.298, 2.474
