yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:08:29.661949, 0.006, 0.077, 0.984
2021-09-14 06:08:29.762165, 0.008, 0.078, 0.998
2021-09-14 06:08:29.862379, 0.006, 0.080, 0.999
2021-09-14 06:08:29.962588, 0.009, 0.083, 1.014
2021-09-14 06:08:30.062796, 0.005, 0.079, 0.997
2021-09-14 06:08:30.163009, 0.008, 0.079, 1.001
2021-09-14 06:08:30.263236, 0.008, 0.076, 0.997
2021-09-14 06:08:30.363450, 0.004, 0.080, 1.009
2021-09-14 06:08:30.463821, 0.005, 0.082, 0.997
2021-09-14 06:08:30.564172, 0.007, 0.081, 0.999
2021-09-14 06:08:30.664402, 0.007, 0.077, 1.000
2021-09-14 06:08:30.764629, 0.011, 0.084, 1.001
2021-09-14 06:08:30.864868, 0.007, 0.076, 1.013
2021-09-14 06:08:30.965146, 0.008, 0.075, 1.000
2021-09-14 06:08:31.065378, 0.002, 0.063, 1.000
2021-09-14 06:08:31.165658, 0.005, 0.080, 0.999
2021-09-14 06:08:31.265877, 0.006, 0.079, 0.985
2021-09-14 06:08:31.366089, 0.003, 0.083, 1.000
2021-09-14 06:08:31.466334, 0.007, 0.063, 1.001
2021-09-14 06:08:31.566557, 0.006, 0.079, 1.006
2021-09-14 06:08:31.666740, 0.006, 0.078, 1.004
2021-09-14 06:08:31.766926, 0.005, 0.080, 0.999
2021-09-14 06:08:31.867112, 0.010, 0.080, 0.997
2021-09-14 06:08:31.967317, 0.002, 0.078, 0.995
2021-09-14 06:08:32.067519, 0.008, 0.076, 0.995
2021-09-14 06:08:32.167718, 0.006, 0.081, 0.994
2021-09-14 06:08:32.267906, 0.008, 0.092, 1.002
2021-09-14 06:08:32.368087, 0.008, 0.081, 0.997
2021-09-14 06:08:32.468272, 0.006, 0.079, 1.000
2021-09-14 06:08:32.568477, 0.006, 0.080, 0.989
2021-09-14 06:08:32.668678, 0.005, 0.086, 1.001
2021-09-14 06:08:32.768901, 0.005, 0.075, 1.003
2021-09-14 06:08:32.869108, 0.004, 0.077, 0.996
2021-09-14 06:08:32.969314, 0.008, 0.078, 1.001
