yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:09:03.433001, 0.003, 0.080, 1.005
2021-09-14 06:09:03.533206, 0.010, 0.079, 0.986
2021-09-14 06:09:03.633458, 0.007, 0.079, 0.996
2021-09-14 06:09:03.733683, 0.006, 0.080, 0.999
2021-09-14 06:09:03.833923, 0.009, 0.083, 0.997
2021-09-14 06:09:03.934136, 0.004, 0.079, 1.000
2021-09-14 06:09:04.034351, 0.008, 0.076, 0.991
2021-09-14 06:09:04.134578, 0.003, 0.093, 1.015
2021-09-14 06:09:04.234826, 0.005, 0.083, 1.000
2021-09-14 06:09:04.335080, 0.004, 0.078, 0.997
2021-09-14 06:09:04.435329, 0.005, 0.074, 0.997
2021-09-14 06:09:04.535545, 0.005, 0.076, 0.994
2021-09-14 06:09:04.635756, 0.004, 0.080, 0.992
2021-09-14 06:09:04.735985, 0.009, 0.073, 0.997
2021-09-14 06:09:04.836215, 0.008, 0.081, 1.000
2021-09-14 06:09:04.936464, 0.007, 0.082, 0.997
2021-09-14 06:09:05.036712, 0.006, 0.091, 0.993
2021-09-14 06:09:05.136930, 0.002, 0.079, 0.998
2021-09-14 06:09:05.237152, 0.005, 0.082, 0.992
2021-09-14 06:09:05.337374, 0.002, 0.080, 0.997
2021-09-14 06:09:05.437591, 0.001, 0.081, 0.987
2021-09-14 06:09:05.537983, 0.006, 0.076, 0.995
2021-09-14 06:09:05.638175, 0.004, 0.075, 1.000
2021-09-14 06:09:05.738337, 0.005, 0.080, 0.994
2021-09-14 06:09:05.838496, 0.008, 0.077, 1.002
2021-09-14 06:09:05.938646, 0.007, 0.080, 1.000
2021-09-14 06:09:06.038795, 0.005, 0.077, 0.994
2021-09-14 06:09:06.138958, 0.008, 0.076, 0.997
2021-09-14 06:09:06.239119, 0.004, 0.080, 1.011
2021-09-14 06:09:06.339280, 0.003, 0.087, 0.997
2021-09-14 06:09:06.439465, 0.012, 0.082, 0.996
2021-09-14 06:09:06.539650, 0.005, 0.078, 1.006
2021-09-14 06:09:06.639833, 0.009, 0.065, 0.985
2021-09-14 06:09:06.740040, 0.006, 0.080, 0.998
2021-09-14 06:09:06.840256, 0.007, 0.083, 0.997
2021-09-14 06:09:06.940441, 0.006, 0.085, 0.985
2021-09-14 06:09:07.040627, 0.009, 0.074, 1.001
2021-09-14 06:09:07.140859, 0.004, 0.077, 1.000
2021-09-14 06:09:07.241092, 0.008, 0.079, 1.004
2021-09-14 06:09:07.341349, 0.003, 0.077, 0.989
2021-09-14 06:09:07.441645, 0.006, 0.081, 0.997
2021-09-14 06:09:07.541873, 0.006, 0.064, 1.014
2021-09-14 06:09:07.642118, 0.007, 0.077, 0.999
2021-09-14 06:09:07.742414, 0.008, 0.076, 0.996
2021-09-14 06:09:07.842639, 0.009, 0.079, 0.998
2021-09-14 06:09:07.942877, 0.009, 0.079, 0.992
2021-09-14 06:09:08.043137, 0.008, 0.081, 1.002
2021-09-14 06:09:08.143360, 0.010, 0.094, 1.001
2021-09-14 06:09:08.243539, 0.010, 0.083, 1.003
2021-09-14 06:09:08.343685, 0.006, 0.062, 1.014
2021-09-14 06:09:08.443868, 0.005, 0.078, 0.997
2021-09-14 06:09:08.544389, 0.008, 0.079, 1.014
2021-09-14 06:09:08.644706, 0.005, 0.079, 0.998
2021-09-14 06:09:08.744948, 0.007, 0.094, 0.994
2021-09-14 06:09:08.845147, 0.006, 0.081, 0.995
2021-09-14 06:09:08.945351, 0.003, 0.064, 0.999
2021-09-14 06:09:09.045564, 0.004, 0.080, 0.994
2021-09-14 06:09:09.145758, 0.006, 0.081, 0.997
2021-09-14 06:09:09.246054, 0.007, 0.078, 0.993
2021-09-14 06:09:09.346282, 0.008, 0.079, 0.999
2021-09-14 06:09:09.446512, 0.002, 0.080, 0.988
2021-09-14 06:09:09.546709, 0.005, 0.081, 0.996
