delta_t,x [g],y [g],z [g],x [dps],y [dps],z [dps],x [uT],y [uT],z [uT]
0.9356334209442139,-0.004,-0.001, 1.026, 0.066,-0.084, 0.260,-14.591, 8.869,15.448
0.956082820892334, 0.002,-0.001, 1.014, 0.150, 0.221, 0.061,-12.589, 8.583,18.023
0.9765927791595459,-0.001,-0.002, 1.012,-0.079, 0.068, 0.160,-14.019, 6.580,14.876
0.9966256618499756, 0.002, 0.001, 1.011, 0.043, 0.137, 0.389,-16.308, 8.297,15.448
1.0173308849334717, 0.014, 0.000, 1.003,-0.377,-2.129,-0.702,-13.161, 8.011,15.162
1.0380313396453857,-0.001,-0.002, 1.018, 0.035,-0.344,-0.526,-12.589, 6.866,16.307
1.0582821369171143,-0.008, 0.005, 1.015,-0.018, 1.602,-1.182,-14.305, 7.439,14.590
1.0784881114959717, 0.045, 0.042, 1.017,-0.117,-1.007,-1.205,-13.733, 8.011,14.018
1.098567008972168, 0.016,-0.008, 1.017, 2.202, 0.068, 2.388,-17.166, 8.011,16.307
1.1190807819366455, 0.004,-0.038, 1.010, 3.377, 0.641, 4.616,-15.450, 6.866,15.162
1.139495849609375, 0.001,-0.017, 1.014, 1.691,-0.054, 5.226,-17.166, 5.722,16.307
1.159522294998169,-0.027,-0.019, 1.006, 0.989, 0.305, 9.896,-14.591, 8.869,15.448
1.1799139976501465,-0.021,-0.019, 1.018, 0.027, 0.831,10.903,-12.302, 8.297,14.876
1.2001588344573975, 0.028,-0.002, 1.017, 0.188, 0.709, 9.491,-14.305, 8.011,16.307
1.2205238342285156, 0.012, 0.001, 1.014,-2.620, 0.885, 8.728,-14.305, 9.727,15.735
1.2408246994018555,-0.004, 0.003, 1.014,-1.102, 1.007,10.414,-13.447, 8.869,14.304
1.2611229419708252, 0.005, 0.055, 1.022,-1.460, 0.770, 6.134,-14.019,10.586,13.160
1.2814948558807373, 0.003,-0.008, 1.008, 0.996, 0.076, 2.213,-15.450, 7.439,16.307
1.3019373416900635,-0.002, 0.015, 1.010, 1.042,-0.069,-0.130,-14.877, 9.155,15.162
