delta_t,x [dps],y [dps],z [dps]
0.0029625892639160156, 0.244,-0.020,-0.134
0.00590205192565918, 0.213, 0.117,-0.004
0.008808612823486328, 0.046,-0.081,-0.020
0.011684179306030273,-0.351, 0.056, 0.110
0.014525651931762695,-0.092,-2.088,-0.104
0.01728534698486328, 0.404,-0.097, 0.019
0.02002716064453125,-0.023, 0.125, 0.049
0.022771120071411133, 0.236, 0.140, 0.049
0.025635242462158203,-0.130, 0.140,-0.187
0.028461456298828125,-0.199, 0.109, 0.179
0.031237363815307617,-0.000, 0.125,-0.210
0.03400731086730957, 0.068, 0.033, 0.080
0.03677678108215332, 0.152,-0.058, 0.034
0.03953981399536133, 0.274,-0.142,-0.020
0.04234719276428223,-0.084, 0.117,-0.180
0.0451509952545166,-0.084,-0.066, 0.362
0.04792070388793945,-0.000,-0.326, 0.133
0.050690650939941406, 0.145, 0.094, 0.202
0.05346179008483887, 0.038, 0.086,-0.287
0.05630302429199219, 0.145,-0.127,-0.027
0.059116363525390625,-0.183, 0.155, 0.133
0.06212949752807617,-0.290, 0.079,-0.012
0.0653083324432373,-0.153,-0.097, 0.194
0.06807112693786621,-0.054, 0.018, 0.102
0.07079792022705078,-0.046,-0.066, 0.072
0.07352042198181152, 0.015, 0.193, 0.110
0.07629966735839844,-0.176,-0.112, 0.293
0.07894492149353027,-0.229, 0.300,-0.050
0.08151412010192871, 0.023, 0.025, 0.034
0.0840909481048584, 0.244, 0.163, 0.049
0.08666515350341797,-0.061,-0.112, 0.163
0.08923196792602539, 0.091, 0.064, 0.125
0.09180688858032227,-0.130,-0.127, 0.110
0.09445452690124512, 0.023, 0.033, 0.087
0.09704184532165527, 0.358, 0.079,-0.020
0.09962153434753418,-0.031,-0.043, 0.095
0.10220098495483398,-0.015,-0.226, 0.217
0.10477781295776367,-0.069, 0.109, 0.186
0.10734272003173828,-0.084, 0.010,-0.012
0.10992980003356934,-0.015,-0.135,-0.226
0.1125032901763916,-0.015, 0.086, 0.064
0.11510562896728516,-0.168,-0.051, 0.087
0.11768484115600586, 0.114,-0.013, 0.011
0.12026166915893555,-0.023,-0.104,-0.020
0.12283635139465332,-0.176,-0.257, 0.125
0.1254425048828125, 0.358,-0.043, 0.072
0.1280806064605713,-0.008,-0.112, 0.087
0.1306934356689453, 0.137,-0.089, 0.179
0.13331174850463867,-0.160, 0.071,-0.004
0.13589715957641602, 0.053,-0.013, 0.019
0.13851070404052734,-0.145, 0.155, 0.019
0.14111900329589844, 0.114, 0.140,-0.012
0.14371395111083984,-0.015,-0.120,-0.081
0.14632010459899902, 0.305, 0.086, 0.026
0.14891910552978516,-0.076,-0.013, 0.286
0.15149950981140137, 0.130, 0.155, 0.194
0.15408611297607422,-0.092,-0.135,-0.096
0.15665864944458008, 0.015, 0.018,-0.065
0.15926837921142578, 0.191,-0.112, 0.171
0.16192412376403809, 0.038, 0.048,-0.058
0.16453075408935547,-0.107, 0.140,-0.149
0.1681663990020752, 0.053,-0.203, 0.057
0.1708066463470459,-0.015,-0.020, 0.156
0.1734623908996582, 0.015,-0.058,-0.119
0.17654800415039062,-0.038,-0.203, 0.179
0.17916178703308105,-0.153, 0.262, 0.003
0.18174099922180176,-0.046, 0.079,-0.157
0.18431472778320312,-0.008,-0.142,-0.012
0.18689322471618652, 0.053, 0.132,-0.134
0.18948578834533691, 0.290, 0.277, 0.202
0.19211459159851074,-0.076,-0.104, 0.163
0.19474077224731445, 0.160, 0.147,-0.073
