acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
 0.872, 0.101, 0.529,-0.555,-2.033, 0.292
 0.885, 0.088, 0.506,-0.591,-1.904, 0.269
 0.887, 0.088, 0.458,-0.642,-1.795, 0.249
 0.893, 0.092, 0.419,-0.695,-1.754, 0.233
 0.894, 0.097, 0.403,-0.717,-1.730, 0.216
 0.889, 0.106, 0.411,-0.674,-1.717, 0.191
 0.889, 0.099, 0.424,-0.569,-1.784, 0.170
 0.904, 0.068, 0.504,-0.443,-1.891, 0.164
 0.904, 0.062, 0.486,-0.332,-1.969, 0.153
 0.904, 0.062, 0.486,-0.263,-1.967, 0.135
 0.913, 0.059, 0.340,-0.241,-1.883, 0.117
 0.930, 0.052, 0.273,-0.235,-1.754, 0.093
 0.930, 0.052, 0.273,-0.220,-1.631, 0.068
 0.947, 0.042, 0.237,-0.180,-1.580, 0.056
 0.943, 0.039, 0.257,-0.155,-1.621, 0.066
 0.947, 0.042, 0.268,-0.141,-1.733, 0.077
 0.962, 0.036, 0.262,-0.148,-1.846, 0.077
 0.962, 0.036, 0.262,-0.188,-1.964, 0.082
 0.973, 0.039, 0.241,-0.255,-2.063, 0.100
 0.977, 0.045, 0.220,-0.324,-2.137, 0.131
 0.985, 0.043, 0.187,-0.394,-2.146, 0.152
 0.989, 0.038, 0.145,-0.440,-2.136, 0.161
 1.011, 0.030, 0.093,-0.437,-2.104, 0.132
 1.011, 0.030, 0.093,-0.407,-2.057, 0.083
 1.022, 0.024, 0.082,-0.369,-1.964, 0.046
 1.008, 0.024, 0.051,-0.368,-1.818, 0.054
 0.984, 0.034, 0.014,-0.399,-1.669, 0.092
 0.984, 0.034, 0.014,-0.451,-1.543, 0.142
 0.991, 0.038,-0.023,-0.506,-1.457, 0.190
 0.991, 0.038,-0.023,-0.558,-1.462, 0.224
 0.995, 0.037,-0.004,-0.588,-1.561, 0.252
 0.995, 0.037,-0.004,-0.586,-1.720, 0.266
 0.997, 0.030, 0.001,-0.561,-1.864, 0.273
 0.991, 0.020,-0.015,-0.531,-1.939, 0.273
 0.971, 0.020,-0.060,-0.485,-1.929, 0.271
 0.961, 0.010,-0.114,-0.417,-1.834, 0.275
 0.960,-0.009,-0.149,-0.338,-1.677, 0.259
 0.958,-0.024,-0.203,-0.272,-1.480, 0.234
 0.961,-0.030,-0.226,-0.230,-1.300, 0.190
 0.961,-0.030,-0.226,-0.215,-1.196, 0.142
 0.973,-0.026,-0.222,-0.242,-1.197, 0.110
 1.002, 0.007,-0.173,-0.309,-1.297, 0.101
 1.002, 0.007,-0.173,-0.410,-1.449, 0.079
 0.992, 0.030,-0.167,-0.528,-1.645, 0.058
