acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
 0.002,-0.001, 1.000,-0.001, 0.001, 0.005
-0.002,-0.004, 1.002, 0.029,-0.005, 0.002
 0.003,-0.005, 1.012,-0.003, 0.030, 0.002
 0.003,-0.005, 0.999, 0.005,-0.001,-0.001
-0.001, 0.000, 1.003, 0.001,-0.003,-0.005
 0.005,-0.003, 1.000,-0.004, 0.001,-0.001
 0.005,-0.005, 1.001,-0.007, 0.000, 0.000
 0.000,-0.001, 0.982,-0.003, 0.001, 0.002
-0.003, 0.013, 1.011, 0.001,-0.002, 0.002
 0.002,-0.001, 1.007,-0.000,-0.001, 0.001
 0.001,-0.002, 1.001,-0.004,-0.001,-0.000
 0.003, 0.003, 1.002,-0.002, 0.002,-0.001
 0.003, 0.001, 0.996, 0.001,-0.002, 0.004
 0.003,-0.004, 1.001,-0.000,-0.001, 0.002
 0.003, 0.011, 1.000, 0.001,-0.005, 0.004
 0.004,-0.004, 0.997,-0.003,-0.002, 0.001
 0.000,-0.000, 0.999, 0.000,-0.036,-0.006
 0.004,-0.001, 1.004,-0.003,-0.002,-0.001
 0.002,-0.000, 0.996,-0.000,-0.001,-0.000
 0.002,-0.003, 0.999,-0.000, 0.003, 0.001
 0.005, 0.003, 1.012, 0.000, 0.005, 0.004
-0.001, 0.002, 0.998,-0.000, 0.001, 0.001
 0.001,-0.001, 0.999,-0.004, 0.001,-0.002
 0.001,-0.000, 1.000, 0.001, 0.005,-0.002
-0.001, 0.001, 0.988, 0.003, 0.000,-0.002
 0.003, 0.002, 0.999,-0.001,-0.003, 0.000
 0.002, 0.001, 1.000, 0.002,-0.000,-0.004
 0.000,-0.004, 1.004,-0.003,-0.001, 0.001
 0.001,-0.002, 0.997,-0.001, 0.031, 0.002
 0.004, 0.002, 0.998,-0.003, 0.002,-0.002
 0.007,-0.005, 0.998, 0.001, 0.005,-0.004
 0.001, 0.006, 1.004, 0.012,-0.005,-0.001
-0.001, 0.001, 1.004,-0.014,-0.001, 0.004
 0.004,-0.002, 0.990,-0.014,-0.006, 0.004
-0.005,-0.005, 0.996, 0.022, 0.005,-0.002
-0.005, 0.003, 1.006, 0.006,-0.003, 0.002
 0.004, 0.013, 1.006,-0.016, 0.030, 0.005
 0.004,-0.007, 0.990, 0.000,-0.003,-0.001
-0.001,-0.000, 0.994, 0.010,-0.002, 0.004
 0.003, 0.002, 1.007,-0.001, 0.004, 0.003
 0.004,-0.002, 0.999,-0.007, 0.001, 0.003
 0.002,-0.004, 1.008, 0.004,-0.001, 0.002
 0.020, 0.002, 0.998,-0.018, 0.003, 0.007
-0.006,-0.005, 1.010,-0.044, 0.004, 0.005
 0.000, 0.000, 0.999,-0.050, 0.001, 0.005
 0.004,-0.014, 0.989,-0.010, 0.005,-0.001
 0.005, 0.003, 1.006,-0.006, 0.007,-0.002
 0.007, 0.008, 1.002,-0.054, 0.011, 0.017
 0.009, 0.016, 1.009,-0.128, 0.014, 0.035
-0.002,-0.006, 1.004,-0.158, 0.007, 0.032
 0.008, 0.238, 0.992,-0.213, 0.058,-0.140
 0.096, 0.017, 1.036,-0.645, 0.010, 0.016
-0.032,-0.018, 0.995,-0.644, 0.001,-0.011
 0.006,-0.111, 0.984,-0.476, 0.005, 0.001
-0.006,-0.109, 0.979,-0.187, 0.002,-0.003
 0.010,-0.112, 0.984, 0.047, 0.014, 0.002
 0.004,-0.049, 1.004, 0.137, 0.015, 0.022
 0.021,-0.034, 1.006, 0.183, 0.021, 0.017
-0.001, 0.028, 1.019, 0.066, 0.026, 0.010
 0.016,-0.006, 1.052,-0.093, 0.102, 0.143
 0.070,-0.127, 1.062,-0.106, 0.299, 0.326
 0.028,-0.018, 1.057,-0.005, 0.399, 0.266
 0.000, 0.078, 1.054, 0.134, 0.494, 0.025
 0.016,-0.007, 1.090, 0.317, 0.639,-0.121
 0.029,-0.001, 1.092, 0.333, 0.806,-0.151
 0.027,-0.024, 1.098, 0.231, 0.947,-0.157
 0.011,-0.035, 1.073, 0.250, 1.077,-0.102
-0.019,-0.030, 1.033, 0.326, 1.172,-0.123
-0.038,-0.043, 1.026, 0.536, 1.249,-0.155
-0.082,-0.005, 0.977, 0.343, 1.219,-0.052
-0.093,-0.000, 0.980, 0.058, 1.139, 0.109
-0.056, 0.003, 1.057,-0.010, 1.178, 0.100
-0.035,-0.059, 1.105, 0.251, 1.370, 0.035
-0.034,-0.058, 1.115, 0.569, 1.570, 0.013
-0.083,-0.008, 1.058, 0.601, 1.735, 0.029
-0.105, 0.006, 1.020, 0.564, 1.791, 0.049
-0.149, 0.040, 0.842, 0.112, 1.608, 0.114
-0.111, 0.061, 1.003, 0.072, 1.659,-0.019
-0.201, 0.007, 0.939, 0.016, 1.617, 0.000
-0.235, 0.002, 0.854, 0.008, 1.333, 0.056
-0.446,-0.260, 0.785,-0.650, 1.078, 0.563
-0.220,-0.212, 0.961,-0.054, 1.035, 0.638
-0.298, 0.199, 0.944, 0.070, 1.008, 0.482
-0.241, 0.176, 1.026,-0.017, 1.050, 0.215
-0.263, 0.087, 0.984, 0.134, 1.103,-0.088
-0.330, 0.064, 0.855,-0.003, 1.020,-0.361
-0.332,-0.075, 0.892, 0.236, 0.900,-0.474
-0.327, 0.043, 0.913, 0.182, 0.785,-0.472
-0.290, 0.077, 0.843, 0.194, 0.742,-0.446
-0.303,-0.062, 0.958, 0.196, 0.714,-0.347
-0.396,-0.122, 0.939, 0.213, 0.717,-0.071
-0.309,-0.081, 0.959, 0.037, 0.743, 0.101
-0.313, 0.012, 0.956,-0.023, 0.764, 0.169
-0.334, 0.012, 0.937, 0.016, 0.772, 0.192
-0.379, 0.081, 1.033, 0.071, 0.806, 0.115
-0.329, 0.097, 1.043, 0.152, 0.924, 0.109
-0.335, 0.056, 0.970, 0.153, 1.036, 0.200
-0.348, 0.004, 0.993, 0.080, 1.138, 0.263
-0.355, 0.052, 0.985,-0.121, 1.291, 0.184
-0.363, 0.057, 0.977,-0.254, 1.402, 0.284
-0.416, 0.094, 0.882,-0.217, 1.432, 0.187
-0.448, 0.103, 0.866,-0.209, 1.437, 0.017
-0.463, 0.032, 0.909,-0.142, 1.465,-0.056
-0.434, 0.022, 0.906,-0.129, 1.518,-0.090
-0.428, 0.012, 0.941,-0.092, 1.587,-0.086
-0.483, 0.037, 0.907,-0.048, 1.647,-0.069
-0.463, 0.061, 0.880,-0.004, 1.678,-0.072
-0.223, 0.120, 1.228,-0.028, 1.950,-0.093
-0.560, 0.031, 0.593,-0.303, 1.856, 0.069
-0.638,-0.057, 0.863, 0.082, 1.783, 0.025
-0.638, 0.062, 0.785, 0.417, 1.780,-0.070
-0.620, 0.069, 0.745, 0.281, 1.774, 0.024
-0.612,-0.031, 0.767, 0.145, 1.803, 0.160
-0.559, 0.046, 0.745,-0.049, 1.803, 0.132
-0.588,-0.003, 0.782, 0.128, 1.700, 0.007
-0.559, 0.043, 0.787, 0.297, 1.667,-0.143
-0.600, 0.056, 0.739, 0.354, 1.638,-0.094
-0.651, 0.045, 0.727, 0.337, 1.533, 0.041
-0.693, 0.030, 0.751, 0.523, 1.470, 0.144
-0.756, 0.113, 0.744, 0.616, 1.517, 0.268
-0.699, 0.037, 0.757, 0.681, 1.655, 0.306
-0.698, 0.022, 0.817, 0.712, 1.922, 0.342
-0.714,-0.029, 0.812, 0.758, 2.155, 0.311
-0.616, 0.060, 0.712, 0.772, 2.228, 0.233
-0.727, 0.035, 0.636, 0.829, 2.219, 0.212
