date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:13:19.809510,0.001963,-0.003825,1.002622,0.017708,-0.067947,-0.093269,-0.056997,0.217929,-0.280514
2022-02-09 20:13:19.909668,-0.002188,-0.000896,1.007261,0.124519,0.015976,-0.009346,-0.058115,0.207871,-0.277162
2022-02-09 20:13:20.009833,-0.001699,0.001057,1.008238,0.010078,0.000717,-0.161934,-0.051409,0.205636,-0.277162
2022-02-09 20:13:20.109964,-0.000967,-0.003825,1.011411,-0.050957,-0.167130,0.242424,-0.055879,0.212342,-0.274926
2022-02-09 20:13:20.210154,0.000010,-0.000163,1.012144,0.109261,-0.037430,-0.055122,-0.062585,0.203401,-0.281632
2022-02-09 20:13:20.310300,0.002207,-0.000652,1.003355,0.032967,-2.166031,-0.047493,-0.052527,0.208989,-0.278279
2022-02-09 20:13:20.410477,-0.000479,-0.002849,1.011167,-0.012810,-0.067947,0.166130,-0.059232,0.204518,-0.282750
2022-02-09 20:13:20.510630,-0.003164,0.006428,1.015806,-0.050957,0.191452,-0.139046,-0.056997,0.213459,-0.278279
2022-02-09 20:13:20.610776,-0.003653,0.000325,1.020689,0.071114,0.115158,-0.070381,-0.058115,0.210106,-0.274926
2022-02-09 20:13:20.710891,-0.000723,0.004964,1.023374,0.063484,0.000717,-0.078011,-0.052527,0.211224,-0.282750
2022-02-09 20:13:20.810993,-0.003164,0.002034,1.009458,-0.096733,0.077011,0.036430,-0.060350,0.205636,-0.270456
2022-02-09 20:13:20.911108,0.003183,-0.004802,1.021421,-0.073845,0.153305,0.112724,-0.062585,0.207871,-0.277162
2022-02-09 20:13:21.011216,0.001963,-0.004314,1.016050,0.170296,0.298264,-0.291634,-0.048056,0.206754,-0.264868
2022-02-09 20:13:21.111320,-0.001455,-0.001140,1.011167,-0.157768,-0.037430,0.127983,-0.059232,0.200048,-0.282750
2022-02-09 20:13:21.211457,0.003672,-0.000163,1.013365,-0.005180,0.054123,0.173759,-0.050291,0.208989,-0.276044
